В ходе лабораторной работы №8 была смоделирована многоканальная система массового обслуживания с отказами.
Используемые параметры: количество каналов n = 5, интенсивность потока обслуживания mu = 5.0 заявок/с, количество заявок в одном эксперименте N = 100.
Интенсивность потока заявок (лямбда) изменялась от 2 до 20 заявок/с с шагом 2. Для каждого значения лямбда вычислялись экспериментальные значения показателей: вероятность простоя P0, вероятность отказа Pn, относительная пропускная способность Q, абсолютная пропускная способность A, среднее число занятых каналов k. Эти же показатели рассчитывались по формулам из лекции №5.
При значениях лямбда меньше или равно 10 расхождения теоретических и экспериментальных значений незначительные. Более сильные расхождения значений наблидаются на всех графиках начиная с значения лямбда больше 10. Наиболее сильный разброс наблюдается на графиках вероятности отказа Pn и относительной пропускной способности Q. Эти графики зеркальны относильно горизонтальной линии, что следует из их формул.
По результатам расчётов и построенния графиков можно сказать, что значения экспериментальных показателей в целом близки к теоретическим. Расхождения есть, но они могут быть вызваны малым количеством заявок в эксперименте и случайным характером процесса.
Таблица результатов:
lambda	P0_exp	Pn_exp	Q_exp	A_exp	k_exp	P0_th	Pn_th	Q_th	A_th	k_th
2,00	0,701	0,000	1,000	1,715	0,353	0,670	0,000	1,000	2,000	0,400
4,00	0,499	0,000	1,000	3,694	0,688	0,449	0,001	0,999	3,995	0,799
6,00	0,273	0,020	0,980	5,630	1,161	0,302	0,006	0,994	5,962	1,192
8,00	0,159	0,020	0,980	7,369	1,661	0,203	0,018	0,982	7,858	1,572
10,00	0,171	0,030	0,970	8,540	1,636	0,138	0,037	0,963	9,633	1,927
12,00	0,155	0,030	0,970	9,723	1,873	0,094	0,062	0,938	11,251	2,250
14,00	0,025	0,040	0,960	12,110	2,547	0,065	0,093	0,907	12,694	2,539
16,00	0,031	0,070	0,930	12,134	2,426	0,046	0,127	0,873	13,961	2,792
18,00	0,045	0,180	0,820	13,289	2,778	0,032	0,163	0,837	15,064	3,013
20,00	0,033	0,080	0,920	14,001	2,658	0,023	0,199	0,801	16,019	3,204
